Project Number	Project Name	Project Address	Project Path
1802002.000	JUNIOR SCHOOL PROJECTS 2,3,4,5 & 9B	CNR NEW SOUTH HEAD ROAD & VAUCLUSE RD, VAUCLUSE NSW 2030	\\bvn\data\projects\18\1802002.000\Design\BIM\_Revit\003 - Junior School\1.0 Project Files\1802002_AR_JS_BUILDING_R22.rvt
Id	Type	Category	ConceptFlag	Length	Area	Volume	Workset	Family	Phase Created	Phase Demolished
5024304	Concept_300mm	Walls	True	11.7088359911	110.080857717	108.347300902	50_SITE	Basic Wall	Stage 2/3	None
5024305	Concept_300mm	Walls	True	9.69570355311	97.8648860002	89.8070904376	50_SITE	Basic Wall	Stage 2/3	None
5025762	Concept_300mm	Walls	True	7.76575149068	19.3195421064	18.8077888849	50_SITE	Basic Wall	Stage 2/3	None
5025848	FENCE_AC concept 2	Walls	True	16.1786598804	63.6955113400	None	50_SITE	Curtain Wall	Stage 2/3	None
5026053	FENCE_AC concept 2	Walls	True	9.31111978989	36.6579519287	None	50_SITE	Curtain Wall	Stage 2/3	None
5027985	FENCE_AC concept 2	Walls	True	3.31522831970	13.0520799988	None	50_SITE	Curtain Wall	Stage 2/3	None
5028412	Concept_300mm	Walls	True	8.05446194226	22.2405555176	21.8903105488	50_SITE	Basic Wall	Stage 2/3	None
5028432	Concept_300mm	Walls	True	2.39173228346	5.88516802034	5.79248820899	50_SITE	Basic Wall	Stage 2/3	None
5028456	Concept_300mm	Walls	True	32.8969816273	79.7363573894	78.4806667218	50_SITE	Basic Wall	Stage 2/3	None
5028571	Concept_300mm	Walls	True	4.42913385827	9.68751937504	9.53496001480	50_SITE	Basic Wall	Stage 2/3	None
5036460	FENCE_AC concept 2	Walls	True	9.80205815443	38.5907801356	None	50_SITE	Curtain Wall	Stage 2/3	None
5036587	FENCE_AC concept 2	Walls	True	7.22183202252	28.5378709972	None	50_SITE	Curtain Wall	Stage 2/3	None
5036690	FENCE_AC concept 2	Walls	True	26.0052055441	102.382698993	None	50_SITE	Curtain Wall	Stage 2/3	None
5037024	FENCE_AC concept 2	Walls	True	5.69194846281	22.4092459166	None	50_SITE	Curtain Wall	Stage 2/3	None
5037115	FENCE_AC concept 2	Walls	True	14.1281153650	55.9287927446	None	50_SITE	Curtain Wall	Stage 2/3	None
5037288	FENCE_AC concept 2	Walls	True	36.8159616257	144.944730810	None	50_SITE	Curtain Wall	Stage 2/3	None
5037747	FENCE_AC concept 2	Walls	True	19.8058936638	77.9759593062	None	50_SITE	Curtain Wall	Stage 2/3	None
5038459	FENCE_AC concept 2	Walls	True	2.08778941088	8.21964334994	None	50_SITE	Curtain Wall	Stage 2/3	None
5038743	FENCE_AC concept 2	Walls	True	4.47895553877	17.8870407411	None	50_SITE	Curtain Wall	Stage 2/3	None
5039766	FENCE_AC concept 2	Walls	True	33.9238338358	133.558400929	None	50_SITE	Curtain Wall	Stage 2/3	None
5040186	FENCE_AC concept 2	Walls	True	7.55497979987	29.7440149601	None	50_SITE	Curtain Wall	Stage 2/3	None
